id_producto,Nombre,Precio,id_marca
1,Monitores Modelo 424,1605.6,14
2,Mouses Modelo 625,1982.31,6
3,Smartphones Modelo 565,2129.44,6
4,Teclados Modelo 181,384.45,3
5,Teclados Modelo 303,435.46,3
6,Impresoras Modelo 108,1808.42,9
7,Tablets Modelo 247,1053.4,8
8,Laptops Modelo 340,736.14,7
9,Auriculares Modelo 466,2697.52,2
10,Laptops Modelo 198,1257.3,15
11,Impresoras Modelo 405,2665.08,4
12,Mouses Modelo 502,509.36,7
13,Tablets Modelo 378,2700.29,8
14,Teclados Modelo 860,2343.72,11
15,Camara Modelo 996,2727.08,14
16,Monitores Modelo 372,2010.35,16
17,Smartphones Modelo 222,599.77,7
18,Smartphones Modelo 543,2665.87,16
19,Tablets Modelo 900,791.81,10
20,Auriculares Modelo 142,1110.61,4
21,Teclados Modelo 101,1667.45,2
22,Teclados Modelo 767,1838.96,11
23,Monitores Modelo 201,920.32,10
24,Camara Modelo 259,145.47,3
25,Monitores Modelo 675,643.19,3
26,Smartphones Modelo 692,675.95,11
27,Camara Modelo 322,2775.91,2
28,Teclados Modelo 626,1790.21,1
29,Tablets Modelo 138,199.75,16
30,Impresoras Modelo 385,1099.11,10
31,Smartphones Modelo 337,1817.92,6
32,Routers Modelo 416,2582.92,9
33,Camara Modelo 998,2659.56,12
34,Smartphones Modelo 209,2746.97,14
35,Camara Modelo 510,559.94,11
36,Laptops Modelo 847,1017.18,11
37,Mouses Modelo 215,1696.57,6
38,Smartphones Modelo 319,476.4,9
39,Laptops Modelo 437,2878,8
40,Teclados Modelo 408,163.07,7
41,Smartphones Modelo 572,677.61,11
42,Tablets Modelo 678,1104.76,10
43,Monitores Modelo 245,1081.7,6
44,Impresoras Modelo 754,2438.67,12
45,Mouses Modelo 424,2486.32,9
46,Laptops Modelo 309,1453.27,2
47,Laptops Modelo 578,2203.14,13
48,Routers Modelo 949,1256.77,14
49,Laptops Modelo 183,2157.19,13
50,Monitores Modelo 386,2082.51,16
51,Mouses Modelo 683,1626.42,5
52,Impresoras Modelo 706,2960.76,3
53,Monitores Modelo 930,333.85,8
54,Impresoras Modelo 901,2615.93,10
55,Camara Modelo 720,2622.93,8
56,Mouses Modelo 384,511.71,15
57,Auriculares Modelo 260,507.37,7
58,Smartphones Modelo 196,216.71,2
59,Impresoras Modelo 928,2091.18,7
60,Camara Modelo 667,2173.36,8
61,Teclados Modelo 116,1051.15,9
62,Laptops Modelo 200,689.98,12
63,Smartphones Modelo 130,2041.87,7
64,Impresoras Modelo 212,1422.63,14
65,Impresoras Modelo 611,185.86,4
66,Tablets Modelo 204,2350.91,5
67,Camara Modelo 970,62.85,8
68,Routers Modelo 331,1231.66,10
69,Mouses Modelo 141,721.17,8
70,Mouses Modelo 925,1942.54,4
71,Mouses Modelo 726,684.48,8
72,Impresoras Modelo 653,267.4,6
73,Routers Modelo 416,1870.61,11
74,Camara Modelo 209,580.12,2
75,Laptops Modelo 692,1569.43,6
76,Mouses Modelo 806,1844.92,9
77,Teclados Modelo 376,1709.95,5
78,Camara Modelo 710,606.76,12
79,Laptops Modelo 592,343.39,10
80,Laptops Modelo 172,1444.72,13
81,Smartphones Modelo 663,1582.63,4
82,Mouses Modelo 385,454.65,5
83,Auriculares Modelo 504,1817.08,11
84,Tablets Modelo 461,2240.01,3
85,Routers Modelo 803,1112.15,7
86,Auriculares Modelo 223,2403.75,4
87,Smartphones Modelo 629,434.82,16
88,Mouses Modelo 271,2349.05,15
89,Smartphones Modelo 897,641.68,13
90,Camara Modelo 823,2254.76,13
91,Camara Modelo 938,1815.35,10
92,Mouses Modelo 858,2559.99,12
93,Laptops Modelo 849,2041.16,9
94,Teclados Modelo 762,452.37,3
95,Monitores Modelo 596,196.02,10
96,Camara Modelo 967,2556.96,1
97,Monitores Modelo 560,465.78,11
98,Monitores Modelo 868,1198.35,16
99,Camara Modelo 759,1806.75,4
100,Impresoras Modelo 779,1410.52,3
101,Impresoras Modelo 915,1411.83,13
102,Smartphones Modelo 990,1501.49,10
103,Impresoras Modelo 156,678.87,4
104,Smartphones Modelo 446,631.86,11
105,Monitores Modelo 767,1747.38,10
106,Routers Modelo 422,1714.74,10
107,Impresoras Modelo 434,1821.19,8
108,Smartphones Modelo 966,2515.14,15
109,Auriculares Modelo 425,1928.79,16
110,Impresoras Modelo 458,1256.25,3
111,Camara Modelo 376,2522.53,3
112,Laptops Modelo 152,1374.94,8
113,Camara Modelo 520,200.51,7
114,Teclados Modelo 215,1251.55,10
115,Monitores Modelo 869,2628.3,6
116,Mouses Modelo 730,1251.6,12
117,Tablets Modelo 803,112.58,13
118,Teclados Modelo 176,679.45,13
119,Tablets Modelo 429,2615.79,2
120,Camara Modelo 878,1929.35,15
121,Monitores Modelo 285,2945.48,10
122,Smartphones Modelo 113,502.76,9
123,Smartphones Modelo 226,2731.69,9
124,Mouses Modelo 639,1179.51,7
125,Routers Modelo 815,360.69,12
126,Routers Modelo 812,120.91,1
127,Auriculares Modelo 823,571.88,9
128,Routers Modelo 414,404.38,15
129,Tablets Modelo 150,857.9,6
130,Tablets Modelo 375,667.6,5
131,Monitores Modelo 517,2470.88,4
132,Mouses Modelo 721,776.3,12
133,Auriculares Modelo 451,2100.17,8
134,Smartphones Modelo 872,2346.41,12
135,Smartphones Modelo 797,2494.98,5
136,Tablets Modelo 725,781.7,3
137,Camara Modelo 827,2061.58,6
138,Camara Modelo 341,1347.23,10
139,Auriculares Modelo 477,136.48,2
140,Laptops Modelo 784,590.9,5
